pair,side,bl_net,bl_hold,entry_step_vel,vel_hold,vel_gross,vel_net,is_winner_vel,max_hold_exit
NATGAS/SOYBEANS,1,-0.22106703817046255,300,3,294,-0.17740906691183334,-0.2116282449940251,False,False
NATGAS/SOYBEANS,-1,0.08883455927113988,100,1,99,0.0952442749743003,0.08239495990580714,True,False
NATGAS/SOYBEANS,-1,-0.014724345556581607,223,2,219,0.013150502713650198,-0.012849497286349803,False,False
NATGAS/SOYBEANS,-1,0.0450401060267957,118,1,117,0.05869734025688421,0.04387542244866503,True,False
NATGAS/SOYBEANS,1,0.0817451415610801,15,5,8,0.09772387134429655,0.09484715901552943,True,False
NATGAS/SOYBEANS,1,-0.0005321600834636425,160,1,159,0.014083993313912604,-0.0053406642203339735,False,False
NATGAS/SOYBEANS,-1,0.10832314400889131,47,1,46,0.10868034742861837,0.10163925153820741,True,False
NATGAS/SOYBEANS,1,0.06622490892545371,115,4,111,0.10123120594314092,0.08706682238149707,True,False
NATGAS/SOYBEANS,-1,-0.06625093437306474,300,1,297,-0.04540799965171186,-0.07995594485719132,False,False
NATGAS/SOYBEANS,1,0.06696753182981206,118,1,116,0.06347368898099158,0.04876136021386829,True,False
NATGAS/SOYBEANS,1,-0.24738552408341405,301,1,300,-0.2379425952937265,-0.2728193076224936,False,True
NATGAS/SOYBEANS,1,0.1508294224929338,87,1,86,0.1480497312180511,0.13662507368380453,True,False
NATGAS/SOYBEANS,-1,0.08406672313631959,72,2,70,0.10491405869000629,0.09524282581329396,True,False
NATGAS/SOYBEANS,-1,-0.2892590312023389,301,1,300,-0.26753206124657736,-0.30240877357534446,False,True
NATGAS/SOYBEANS,-1,0.057393882575002365,15,3,10,0.11914108079431449,0.11604519038335558,True,False
SILVER/COFFEE,-1,0.07647095296879033,57,2,55,0.11308425926377418,0.1050568620035002,True,False
SILVER/COFFEE,-1,0.07110888237332752,70,1,68,0.06129779682794721,0.051845742033426664,True,False
SILVER/COFFEE,-1,0.05893483755704742,69,1,68,0.04634417377695332,0.03689211898243277,True,False
SILVER/COFFEE,1,-0.04224448094986249,301,1,300,-0.010642124335193896,-0.045518836663961025,False,True
SILVER/COFFEE,-1,0.07782970330020661,37,1,36,0.07892471735946548,0.07297951188001342,True,False
SILVER/COFFEE,-1,-0.010737327436478202,194,1,193,-0.00258289635825639,-0.02573358128976324,False,False
SILVER/COFFEE,1,-0.029363104047978587,272,2,268,-0.017553187210306243,-0.04892305022400488,False,False
SILVER/COFFEE,-1,-0.2725823266292798,301,1,300,-0.2404175342638292,-0.2752942465925963,False,True
SILVER/COFFEE,1,0.04688858559361249,77,3,72,0.06910018196933923,0.05920977101043512,True,False
SILVER/COFFEE,-1,0.12294489154264693,98,1,97,0.12103570493813906,0.10840556795183769,True,False
SILVER/COFFEE,1,0.06117915025863499,175,1,174,0.066471314324424,0.045402821173739075,True,False
SILVER/COFFEE,-1,0.035967657549198305,26,1,23,0.03893145801166747,0.034410910066461985,True,False
SILVER/COFFEE,-1,0.061683967698266,31,2,29,0.06477746904881132,0.0595993868570305,True,False
