Long,Short,_long,_short,Trades_WT,NetWR_WT,AvgNet_WT,AvgHold_WT,Trades_CT,NetWR_CT,AvgNet_CT,AvgHold_CT,Aligned%,Best Dir,EstCost
IBEX 35,FTSE MIB,CMD,CEY,13,0.0,-0.011797501459985742,6.538461538461538,129,0.015503875968992248,-0.017634947366746298,10.635658914728682,0.09154929577464789,Neither,0.0038000000000000004
IBEX 35,DAX,CMD,CFR,18,0.16666666666666666,-0.011738958603942716,17.88888888888889,122,0.3114754098360656,-0.006672070112386093,10.073770491803279,0.12857142857142856,Neither,0.0015400000000000001
IBEX 35,STOXX 50,CMD,CEI,16,0.0625,-0.01624908786180708,17.5,94,0.07446808510638298,-0.010668911752353693,9.03191489361702,0.14545454545454545,Neither,0.0027
IBEX 35,SMI,CMD,COI,29,0.41379310344827586,-0.006835685817590583,13.172413793103448,120,0.24166666666666667,-0.009040136934402483,9.983333333333333,0.19463087248322147,Neither,0.00194
IBEX 35,HSI,CMD,CRM,25,0.48,-0.009328607347405326,14.48,143,0.5384615384615384,-0.0012636168275701356,7.881118881118881,0.1488095238095238,Neither,0.0021000000000000003
IBEX 35,ASX 200,CMD,CIL,23,0.4782608695652174,-0.0004174132311342915,5.608695652173913,181,0.5082872928176796,-0.00012491732995874007,6.569060773480663,0.11274509803921569,Neither,0.0021000000000000003
IBEX 35,NASDAQ 100,CMD,CPH,22,0.7272727272727273,0.0073654055828188325,5.045454545454546,174,0.5862068965517241,-0.0019801721520641153,8.959770114942529,0.11224489795918367,WT,0.0013000000000000002
IBEX 35,S&P 500,CMD,CTN,35,0.5714285714285714,0.0034764467099251614,6.6,142,0.528169014084507,-0.0024769465841410487,9.169014084507042,0.1977401129943503,WT,0.00128
IBEX 35,Dow Jones,CMD,CTB,19,0.5263157894736842,-0.005730340757100243,9.947368421052632,136,0.49264705882352944,-0.001234444809340917,8.573529411764707,0.12258064516129032,Neither,0.00136
STOXX 50,FTSE 100,CEI,UKX,12,0.08333333333333333,-0.019378480485917077,17.5,105,0.17142857142857143,-0.008218888834518902,9.114285714285714,0.10256410256410256,Neither,0.00236
STOXX 50,CAC 40,CEI,CBK,14,0.07142857142857142,-0.009637955329750788,6.0,121,0.08264462809917356,-0.009349758112534178,8.256198347107437,0.1037037037037037,Neither,0.0026
STOXX 50,FTSE MIB,CEI,CEY,9,0.0,-0.014823785953507156,6.111111111111111,91,0.02197802197802198,-0.01671407738698528,11.813186813186814,0.09,Neither,0.0043
STOXX 50,DAX,CEI,CFR,9,0.0,-0.006721622224118682,6.444444444444445,100,0.05,-0.009720215580620924,11.06,0.08256880733944955,Neither,0.00204
STOXX 50,IBEX 35,CEI,CMD,19,0.10526315789473684,-0.01394324648033896,14.68421052631579,95,0.06315789473684211,-0.01061995275927815,8.842105263157896,0.16666666666666666,Neither,0.0027
STOXX 50,SMI,CEI,COI,17,0.17647058823529413,-0.008263755484336355,10.058823529411764,79,0.22784810126582278,-0.009372872836041624,10.734177215189874,0.17708333333333334,Neither,0.0024400000000000003
STOXX 50,HSI,CEI,CRM,18,0.5,0.00525849683421251,4.777777777777778,119,0.3949579831932773,-0.0042905770122008005,7.378151260504202,0.13138686131386862,WT,0.0026
STOXX 50,ASX 200,CEI,CIL,35,0.6285714285714286,0.002975369646124369,5.914285714285715,137,0.5547445255474452,0.0020892939705981894,4.978102189781022,0.20348837209302326,Both,0.0026
STOXX 50,NASDAQ 100,CEI,CPH,8,0.75,0.012037906819445315,3.625,106,0.4339622641509434,-0.004969911284560302,9.90566037735849,0.07017543859649122,WT,0.0018000000000000002
STOXX 50,S&P 500,CEI,CTN,16,0.375,-0.0010539177446925296,8.8125,130,0.5076923076923077,-0.001920304484706512,7.8,0.1095890410958904,Neither,0.0017800000000000001
STOXX 50,Dow Jones,CEI,CTB,27,0.5555555555555556,-0.0007235464218888327,8.11111111111111,132,0.45454545454545453,-0.0008733136714492913,5.9393939393939394,0.16981132075471697,Neither,0.00186
SMI,FTSE 100,COI,UKX,20,0.4,-0.004568161535742488,8.7,139,0.2589928057553957,-0.006530377647058866,10.028776978417266,0.12578616352201258,Neither,0.0016
SMI,CAC 40,COI,CBK,36,0.4166666666666667,-0.0037949671974493162,8.833333333333334,118,0.2627118644067797,-0.006852765479790462,10.211864406779661,0.23376623376623376,Neither,0.00184
SMI,FTSE MIB,COI,CEY,23,0.21739130434782608,-0.014628337322993023,12.565217391304348,133,0.09774436090225563,-0.013601290255120985,9.518796992481203,0.14743589743589744,Neither,0.00354
SMI,DAX,COI,CFR,36,0.3333333333333333,-0.0057645335664570484,12.11111111111111,97,0.3711340206185567,-0.008256459939089343,11.793814432989691,0.2706766917293233,Neither,0.00128
SMI,IBEX 35,COI,CMD,28,0.2857142857142857,-0.007345925225677321,13.392857142857142,111,0.24324324324324326,-0.009494304031275115,10.63963963963964,0.2014388489208633,Neither,0.00194
SMI,STOXX 50,COI,CEI,14,0.07142857142857142,-0.007942809519122759,12.142857142857142,83,0.1686746987951807,-0.009123331157973669,9.759036144578314,0.14432989690721648,Neither,0.0024400000000000003
SMI,HSI,COI,CRM,37,0.6216216216216216,0.002946463853345208,6.918918918918919,133,0.48120300751879697,-0.004784066274540733,8.962406015037594,0.21764705882352942,WT,0.00184
SMI,ASX 200,COI,CIL,30,0.4666666666666667,-0.0008390094851066236,7.0,153,0.5686274509803921,0.0003715045490564439,6.477124183006536,0.16393442622950818,CT,0.00184
SMI,NASDAQ 100,COI,CPH,35,0.6571428571428571,0.004977567037998349,5.0,127,0.49606299212598426,-0.004416544891496285,10.992125984251969,0.21604938271604937,WT,0.0010400000000000001
SMI,S&P 500,COI,CTN,26,0.7307692307692307,0.004842030905738288,8.038461538461538,185,0.6270270270270271,0.0026420493846233666,6.697297297297298,0.12322274881516587,Both,0.00102
SMI,Dow Jones,COI,CTB,40,0.7,0.007311220894796784,7.6,182,0.5769230769230769,0.0014317195909220337,7.010989010989011,0.18018018018018017,Both,0.0011
HSI,FTSE 100,CRM,UKX,36,0.5277777777777778,-0.001592419483129587,8.027777777777779,170,0.4823529411764706,-0.0006437203608543675,7.352941176470588,0.17475728155339806,Neither,0.00176
HSI,CAC 40,CRM,CBK,37,0.4864864864864865,-0.0015835401790198122,7.486486486486487,143,0.4755244755244755,-0.0022566461379778294,7.937062937062937,0.20555555555555555,Neither,0.002
HSI,FTSE MIB,CRM,CEY,30,0.26666666666666666,-0.00432306111575564,7.1,171,0.2807017543859649,-0.010720001855139917,8.08187134502924,0.14925373134328357,Neither,0.0037
HSI,DAX,CRM,CFR,53,0.6415094339622641,0.0035308239583670357,6.39622641509434,136,0.6176470588235294,0.0007573215215939375,6.661764705882353,0.2804232804232804,Both,0.00144
HSI,IBEX 35,CRM,CMD,31,0.41935483870967744,-0.005281322179715083,9.32258064516129,144,0.5208333333333334,-0.00043044004057501197,7.965277777777778,0.17714285714285713,Neither,0.0021000000000000003
HSI,STOXX 50,CRM,CEI,15,0.6,0.007976424637121731,4.6,124,0.4112903225806452,-0.002042360679266019,6.82258064516129,0.1079136690647482,WT,0.0026
HSI,SMI,CRM,COI,34,0.6176470588235294,0.004937211742330588,7.088235294117647,111,0.5225225225225225,-0.005030141666042553,10.585585585585585,0.23448275862068965,WT,0.00184
HSI,ASX 200,CRM,CIL,32,0.4375,-0.0042203373539068355,8.3125,134,0.47761194029850745,-0.0031325441790181195,8.223880597014926,0.1927710843373494,Neither,0.002
HSI,NASDAQ 100,CRM,CPH,42,0.5952380952380952,-0.0001568562863362582,8.880952380952381,154,0.7272727272727273,0.0035871255825849287,6.590909090909091,0.21428571428571427,CT,0.0012000000000000001
HSI,S&P 500,CRM,CTN,37,0.8108108108108109,0.0019534613540951387,7.756756756756757,149,0.7114093959731543,0.0024726808845702145,7.167785234899329,0.1989247311827957,Both,0.00118
HSI,Dow Jones,CRM,CTB,28,0.6428571428571429,-0.0026521616337413117,10.214285714285714,143,0.6433566433566433,0.0029816063143458193,8.258741258741258,0.16374269005847952,CT,0.00126
ASX 200,FTSE 100,CIL,UKX,20,0.45,0.0037821532987684847,4.25,286,0.5944055944055944,0.0022911069509356278,4.339160839160839,0.06535947712418301,Both,0.00176
ASX 200,CAC 40,CIL,CBK,35,0.45714285714285713,0.00031224159313561034,6.2,226,0.5398230088495575,0.0015233651324522408,5.199115044247788,0.13409961685823754,Both,0.002
ASX 200,FTSE MIB,CIL,CEY,26,0.2692307692307692,-0.0036387588065848048,7.423076923076923,205,0.3073170731707317,-0.006136475905315412,5.975609756097561,0.11255411255411256,Neither,0.0037
ASX 200,DAX,CIL,CFR,31,0.6774193548387096,0.0042844686982910375,5.67741935483871,177,0.6271186440677966,0.0017910343512292863,7.254237288135593,0.14903846153846154,Both,0.00144
ASX 200,IBEX 35,CIL,CMD,35,0.6,0.00011056708049595215,5.8,179,0.4972067039106145,-0.00045400806191833823,6.430167597765363,0.16355140186915887,WT,0.0021000000000000003
ASX 200,STOXX 50,CIL,CEI,32,0.59375,0.0025699981803940135,4.4375,130,0.49230769230769234,0.00116947845008604,5.292307692307692,0.19753086419753085,Both,0.0026
ASX 200,SMI,CIL,COI,34,0.47058823529411764,-0.0007493802575202222,7.088235294117647,176,0.5568181818181818,0.0007947062379520969,6.068181818181818,0.1619047619047619,CT,0.00184
ASX 200,HSI,CIL,CRM,36,0.4722222222222222,-0.0016390896962037045,7.333333333333333,141,0.40425531914893614,-0.004106636276389985,8.170212765957446,0.2033898305084746,Neither,0.002
ASX 200,NASDAQ 100,CIL,CPH,21,0.6666666666666666,0.0005331945799150451,7.666666666666667,203,0.6896551724137931,0.00304790465988318,7.251231527093596,0.09375,Both,0.0012000000000000001
ASX 200,S&P 500,CIL,CTN,21,0.8571428571428571,0.007871993908048554,4.904761904761905,279,0.6917562724014337,0.005370387482526524,4.781362007168458,0.07,Both,0.00118
ASX 200,Dow Jones,CIL,CTB,29,0.7586206896551724,0.008950290229309066,4.862068965517241,259,0.7181467181467182,0.005399510387728051,4.54054054054054,0.10069444444444445,Both,0.00126
NASDAQ 100,FTSE 100,CPH,UKX,30,0.7333333333333333,0.006118508898647947,6.1,208,0.6201923076923077,0.0009808669153838743,8.163461538461538,0.12605042016806722,Both,0.00096
NASDAQ 100,CAC 40,CPH,CBK,32,0.875,0.0068823263899009035,4.28125,167,0.5988023952095808,-0.001780703487953587,8.664670658682635,0.16080402010050251,WT,0.0012000000000000001
NASDAQ 100,FTSE MIB,CPH,CEY,35,0.2857142857142857,-0.005277315854324673,6.457142857142857,160,0.325,-0.009027273658272826,9.44375,0.1794871794871795,Neither,0.0029000000000000002
NASDAQ 100,DAX,CPH,CFR,25,0.72,0.004811810925050317,5.92,177,0.7288135593220338,0.002656951910552939,7.372881355932203,0.12376237623762376,Both,0.00064
NASDAQ 100,IBEX 35,CPH,CMD,17,0.5882352941176471,0.004293976545744499,5.9411764705882355,180,0.5722222222222222,-0.002704182364394095,9.583333333333334,0.08629441624365482,WT,0.0013000000000000002
NASDAQ 100,STOXX 50,CPH,CEI,10,0.8,0.009291969482732823,4.2,99,0.5151515151515151,-0.005847046855401185,11.434343434343434,0.09174311926605505,WT,0.0018000000000000002
NASDAQ 100,SMI,CPH,COI,30,0.7666666666666667,0.008211508185347983,7.3,152,0.5197368421052632,-0.0017128754779712687,9.263157894736842,0.16483516483516483,WT,0.0010400000000000001
NASDAQ 100,HSI,CPH,CRM,38,0.7368421052631579,0.00512151298358294,6.447368421052632,184,0.7119565217391305,0.0028350912582144313,7.021739130434782,0.17117117117117117,Both,0.0012000000000000001
NASDAQ 100,ASX 200,CPH,CIL,26,0.6538461538461539,0.004573542528351433,8.961538461538462,208,0.6778846153846154,0.003830607435505198,6.889423076923077,0.1111111111111111,Both,0.0012000000000000001
NASDAQ 100,S&P 500,CPH,CTN,38,0.5526315789473685,-0.0006123082874240636,7.2368421052631575,104,0.4423076923076923,-0.006588914914974668,12.60576923076923,0.2676056338028169,Neither,0.00038
NASDAQ 100,Dow Jones,CPH,CTB,16,0.5625,-0.0034788633581880864,15.9375,107,0.5327102803738317,-0.005631906036255103,12.16822429906542,0.13008130081300814,Neither,0.00046
S&P 500,FTSE 100,CTN,UKX,31,0.7741935483870968,0.011184890233069344,3.6451612903225805,220,0.6636363636363637,0.003490620997444934,6.609090909090909,0.12350597609561753,Both,0.0009400000000000001
S&P 500,CAC 40,CTN,CBK,21,0.7619047619047619,0.008496437912965496,3.9523809523809526,206,0.616504854368932,0.0002362455976548514,7.189320388349515,0.09251101321585903,Both,0.00118
S&P 500,FTSE MIB,CTN,CEY,37,0.4594594594594595,-0.007670875875746478,10.0,182,0.3076923076923077,-0.005297255847963217,6.945054945054945,0.1689497716894977,Neither,0.00288
S&P 500,DAX,CTN,CFR,39,0.717948717948718,0.004200257178056141,6.333333333333333,154,0.6818181818181818,0.0008792261741707174,8.792207792207792,0.20207253886010362,Both,0.00062
S&P 500,IBEX 35,CTN,CMD,32,0.59375,0.0010658092270386913,7.65625,151,0.5231788079470199,-0.0015203124004248914,8.940397350993377,0.17486338797814208,WT,0.00128
S&P 500,STOXX 50,CTN,CEI,16,0.3125,-0.0011439511768700271,8.1875,132,0.4090909090909091,-0.0017247804293052302,7.893939393939394,0.10810810810810811,Neither,0.0017800000000000001
S&P 500,SMI,CTN,COI,36,0.7222222222222222,0.008707842923928948,5.861111111111111,202,0.6386138613861386,0.003305076909522635,6.202970297029703,0.15126050420168066,Both,0.00102
S&P 500,HSI,CTN,CRM,41,0.8292682926829268,0.003990430043754346,7.829268292682927,128,0.625,-0.0003046878127644663,8.65625,0.24260355029585798,WT,0.00118
S&P 500,ASX 200,CTN,CIL,37,0.8108108108108109,0.017253383812754756,4.405405405405405,260,0.6961538461538461,0.005994085592637805,4.811538461538461,0.12457912457912458,Both,0.00118
S&P 500,NASDAQ 100,CTN,CPH,32,0.75,0.0003486737190894533,8.53125,89,0.42696629213483145,-0.007545446542389533,13.932584269662922,0.2644628099173554,WT,0.00038
S&P 500,Dow Jones,CTN,CTB,15,0.4,-0.0041490838452368515,13.266666666666667,102,0.28431372549019607,-0.005473230134592274,13.852941176470589,0.1282051282051282,Neither,0.00043999999999999996
Dow Jones,FTSE 100,CTB,UKX,27,0.6296296296296297,0.0031047665530908285,6.925925925925926,211,0.5781990521327014,0.0026384459290367058,6.957345971563981,0.1134453781512605,Both,0.00102
Dow Jones,CAC 40,CTB,CBK,24,0.5416666666666666,0.001680261378660554,6.833333333333333,217,0.543778801843318,-0.00047177972668688934,7.2304147465437785,0.0995850622406639,WT,0.00126
Dow Jones,FTSE MIB,CTB,CEY,26,0.3076923076923077,-0.010644774770231827,11.076923076923077,161,0.3105590062111801,-0.006082997654020219,7.751552795031056,0.13903743315508021,Neither,0.00296
Dow Jones,DAX,CTB,CFR,44,0.8409090909090909,0.006622560321752685,4.340909090909091,149,0.6241610738255033,-0.0016094196235080297,9.36241610738255,0.22797927461139897,WT,0.0007
Dow Jones,IBEX 35,CTB,CMD,34,0.6470588235294118,0.001045619451041711,6.411764705882353,134,0.5671641791044776,-0.0012547671931832714,9.388059701492537,0.20238095238095238,WT,0.00136
Dow Jones,STOXX 50,CTB,CEI,29,0.4827586206896552,0.0006904753300636866,6.379310344827586,133,0.45112781954887216,-0.0014894764476829098,6.473684210526316,0.17901234567901234,WT,0.00186
Dow Jones,SMI,CTB,COI,39,0.6410256410256411,0.006833963574792266,7.846153846153846,197,0.6243654822335025,0.001640053272416757,6.898477157360406,0.1652542372881356,Both,0.0011
Dow Jones,HSI,CTB,CRM,47,0.7021276595744681,0.0032987120969493,7.404255319148936,132,0.6060606060606061,0.001634379252045815,8.681818181818182,0.26256983240223464,Both,0.00126
Dow Jones,ASX 200,CTB,CIL,44,0.7954545454545454,0.009080394452600171,4.863636363636363,234,0.717948717948718,0.006033916590763639,4.799145299145299,0.15827338129496402,Both,0.00126
Dow Jones,NASDAQ 100,CTB,CPH,20,0.55,-0.00208522909159962,11.3,111,0.5405405405405406,-0.004880536463440915,11.45945945945946,0.15267175572519084,Neither,0.00046
Dow Jones,S&P 500,CTB,CTN,17,0.35294117647058826,-0.004265317433163102,11.705882352941176,103,0.34951456310679613,-0.005356984953071957,13.640776699029127,0.14166666666666666,Neither,0.00043999999999999996
