exit_sd,long_label,short_label,n_trades,avg_net,avg_hold_cal,win_rate,total_EV
0.5,NATGAS,COFFEE,42,0.032915112992335724,82.21428571428571,0.8333333333333334,1.3824347456781003
0.5,NATGAS,COPPER,34,0.011982017294200018,103.76470588235294,0.6764705882352942,0.4073885880028006
0.5,NATGAS,GOLD,30,-0.03858232701117337,154.23333333333332,0.5666666666666667,-1.157469810335201
0.5,NATGAS,SOYBEANS,28,-0.012466032832306963,130.35714285714286,0.6071428571428571,-0.349048919304595
0.5,NATGAS,SUGAR,37,0.0066810054364245626,116.51351351351352,0.6486486486486487,0.24719720114770882
0.5,PLATINUM,SOYBEANS,29,0.003371248876276049,110.06896551724138,0.7241379310344828,0.09776621741200542
0.5,SILVER,COFFEE,39,0.022285340641697318,89.12820512820512,0.8205128205128205,0.8691282850261954
0.5,SOYBEANS,NATGAS,32,0.0024685772024048464,118.0625,0.65625,0.07899447047695508
0.5,SOYBEANS,PLATINUM,27,-0.0036723838511908114,114.07407407407408,0.7407407407407407,-0.09915436398215191
0.5,SOYBEANS,WHEAT,33,0.013553353429292276,97.33333333333333,0.8181818181818182,0.4472606631666451
0.5,SUGAR,NATGAS,32,-0.006434988165750884,136.3125,0.59375,-0.2059196213040283
0.5,WHEAT,BRENT,27,0.0350578699203324,74.11111111111111,0.8518518518518519,0.9465624878489748
0.5,WHEAT,SOYBEANS,38,0.02726539821109943,84.34210526315789,0.7631578947368421,1.0360851320217783
1.0,BRENT,NATGAS,29,0.008310973061587894,67.10344827586206,0.6896551724137931,0.24101821878604893
1.0,BRENT,WHEAT,24,0.005140754521751841,68.04166666666667,0.6666666666666666,0.1233781085220442
1.0,COFFEE,NATGAS,45,0.01827616094266731,60.15555555555556,0.8,0.8224272424200288
1.0,COFFEE,SILVER,44,0.01828613437221496,59.29545454545455,0.7727272727272727,0.8045899123774582
1.0,COPPER,NATGAS,41,0.010246065665212849,64.6829268292683,0.7317073170731707,0.4200886922737268
1.0,GOLD,NATGAS,38,-0.012611076433976397,89.6842105263158,0.6052631578947368,-0.4792209044911031
1.0,NATGAS,BRENT,27,0.005571291960457757,61.81481481481482,0.7037037037037037,0.15042488293235942
1.0,NATGAS,COFFEE,49,0.02445158047192972,52.204081632653065,0.8367346938775511,1.1981274431245563
1.0,NATGAS,COPPER,40,0.006171949689518145,64.1,0.7,0.24687798758072582
1.0,NATGAS,GOLD,33,-0.033187536490672846,105.6969696969697,0.5151515151515151,-1.095188704192204
1.0,NATGAS,SOYBEANS,32,-0.012845620497643727,85.40625,0.625,-0.41105985592459926
1.0,NATGAS,SUGAR,48,0.011255667723105121,62.479166666666664,0.7083333333333334,0.5402720507090458
1.0,PLATINUM,SOYBEANS,34,0.004270359015367159,77.11764705882354,0.7941176470588235,0.1451922065224834
1.0,SILVER,COFFEE,50,0.01792778864752387,51.1,0.82,0.8963894323761936
1.0,SOYBEANS,NATGAS,39,-0.0005944725286215166,72.23076923076923,0.6666666666666666,-0.02318442861623915
1.0,SOYBEANS,PLATINUM,32,-0.0033821981794228107,80.25,0.78125,-0.10823034174152994
1.0,SOYBEANS,WHEAT,45,0.017127616721109566,53.46666666666667,0.7777777777777778,0.7707427524499305
1.0,SUGAR,NATGAS,37,-0.009824732147689703,87.45945945945945,0.6216216216216216,-0.36351508946451905
1.0,WHEAT,BRENT,27,0.01776606117650451,48.148148148148145,0.7407407407407407,0.4796836517656217
1.0,WHEAT,SOYBEANS,43,0.017199002492049243,53.16279069767442,0.7209302325581395,0.7395571071581174
