pair,long,short,activation,buffer,bl_n,bl_gross_wr,bl_net_wr,bl_avg_gross,bl_avg_net,bl_avg_hold,st_n,st_gross_wr,st_net_wr,st_avg_gross,st_avg_net,st_avg_hold,n_fired,pct_fired,n_unnecessary,pct_unnecessary,net_improvement
NATGAS/GOLD,NATGAS,GOLD,1.5,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.5,0.44,-0.0151,-0.0262,82.5,35,70.0,14,40.0,0.0239
NATGAS/GOLD,NATGAS,GOLD,1.5,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.52,0.46,-0.0165,-0.0281,88.0,33,66.0,12,36.4,0.0219
NATGAS/GOLD,NATGAS,GOLD,1.5,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,50,0.54,0.52,-0.0112,-0.0237,95.5,29,58.0,12,41.4,0.0264
NATGAS/GOLD,NATGAS,GOLD,1.5,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,47,0.4681,0.4468,-0.016,-0.0309,118.0,22,46.8,10,45.5,0.0192
NATGAS/GOLD,NATGAS,GOLD,1.5,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,42,0.5,0.4762,-0.0214,-0.0377,130.4,15,35.7,8,53.3,0.0124
NATGAS/GOLD,NATGAS,GOLD,1.25,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5263,0.4211,-0.0259,-0.0384,96.3,28,73.7,9,32.1,0.0117
NATGAS/GOLD,NATGAS,GOLD,1.25,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.4737,0.3947,-0.0307,-0.0438,101.2,27,71.1,9,33.3,0.0063
NATGAS/GOLD,NATGAS,GOLD,1.25,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5263,0.5,-0.0254,-0.04,115.0,22,57.9,9,40.9,0.0101
NATGAS/GOLD,NATGAS,GOLD,1.25,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5526,0.5263,-0.0292,-0.0453,128.2,19,50.0,7,36.8,0.0048
NATGAS/GOLD,NATGAS,GOLD,1.25,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,38,0.5526,0.4737,-0.0186,-0.0372,151.4,10,26.3,5,50.0,0.0129
NATGAS/GOLD,NATGAS,GOLD,1.0,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5556,0.5,-0.0209,-0.0365,123.9,21,58.3,8,38.1,0.0136
NATGAS/GOLD,NATGAS,GOLD,1.0,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5556,0.4722,-0.025,-0.041,127.4,20,55.6,8,40.0,0.0091
NATGAS/GOLD,NATGAS,GOLD,1.0,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5833,0.4444,-0.0211,-0.0375,131.5,17,47.2,6,35.3,0.0125
NATGAS/GOLD,NATGAS,GOLD,1.0,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.5833,0.4167,-0.0258,-0.0433,141.0,16,44.4,5,31.2,0.0068
NATGAS/GOLD,NATGAS,GOLD,1.0,0.75,29,0.6207,0.5172,-0.0276,-0.0501,186.9,36,0.6111,0.5,-0.022,-0.0405,151.0,12,33.3,4,33.3,0.0096
NATGAS/GOLD,NATGAS,GOLD,0.75,0.1,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5294,0.5294,-0.0209,-0.0371,129.6,22,64.7,10,45.5,0.0129
NATGAS/GOLD,NATGAS,GOLD,0.75,0.2,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5588,0.4706,-0.0215,-0.0381,133.4,20,58.8,8,40.0,0.012
NATGAS/GOLD,NATGAS,GOLD,0.75,0.3,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5882,0.4118,-0.0214,-0.0388,140.3,17,50.0,5,29.4,0.0113
NATGAS/GOLD,NATGAS,GOLD,0.75,0.5,29,0.6207,0.5172,-0.0276,-0.0501,186.9,34,0.5882,0.4118,-0.0185,-0.0363,144.5,14,41.2,4,28.6,0.0137
