Long,Short,confirmation_bars,exit_sd,n_trades,gross_wr,net_wr,avg_gross,avg_net,avg_winner_gross,avg_loser_gross,avg_winner_net,avg_loser_net,payoff_gross,payoff_net,avg_holding,median_holding,avg_spread_cost,avg_fin_cost,avg_total_cost
UKX,CMD,1,2.0,89,0.5955056179775281,0.3595505617977528,0.001950607838462561,-0.004061397702556371,0.008142642799056393,-0.007165443631300579,0.007151115959012135,-0.01035614221431413,1.136376645751164,0.6905192890387265,9.179775280898877,3.0,0.004,0.0020120055410189318,0.006012005541018932
UKX,CMD,2,2.0,79,0.6455696202531646,0.379746835443038,0.003451857287701601,-0.0022460792477587777,0.008523283079437538,-0.005785382547246002,0.007760816669700411,-0.008372750217631751,1.4732445105976353,0.926913674476673,7.746835443037975,3.0,0.004,0.001697936535460378,0.005697936535460378
UKX,CMD,3,2.0,64,0.578125,0.453125,0.0023041946851601307,-0.0029423806573056228,0.009519296312200038,-0.00758316680374641,0.006927399018116654,-0.011120198102655509,1.2553193881344,0.622956439639541,5.6875,1.0,0.004,0.0012465753424657534,0.0052465753424657535
UKX,CEI,0,1.5,38,0.7105263157894737,0.4473684210526316,-0.0009729346667099379,-0.013941932503768342,0.011102399428749361,-0.030612391082837306,0.007601304495876332,-0.031381695789194974,0.36267664942298056,0.24222096049039948,40.921052631578945,25.5,0.004,0.0089689978370584,0.0129689978370584
UKX,CEI,1,1.5,38,0.6842105263157895,0.5263157894736842,-0.00017147369169251533,-0.012540615724857622,0.011993953579547818,-0.026529899446046574,0.00714700043583958,-0.03441574479229895,0.45209193513679635,0.20766659210696006,38.18421052631579,21.0,0.004,0.008369142033165104,0.012369142033165104
UKX,CEI,2,1.5,37,0.7027027027027027,0.5135135135135135,0.0008058605328359411,-0.010498100962906378,0.011605984634152303,-0.024721705524820923,0.008081470423845096,-0.030109870760032926,0.4694653701177591,0.26839937269250036,33.32432432432432,15.0,0.004,0.007303961495742318,0.011303961495742318
UKX,CEI,3,1.5,36,0.6944444444444444,0.4722222222222222,0.0004664561531105311,-0.009402645825580489,0.010496334534097767,-0.022328721985496822,0.006999518878049415,-0.024078266876196713,0.4700821901457438,0.29069861689127624,26.77777777777778,9.0,0.004,0.00586910197869102,0.00986910197869102
UKX,CEI,0,1.8,64,0.78125,0.5,0.0009125971797510283,-0.007251786381892808,0.007619692694167374,-0.023041315371735923,0.004342890745353257,-0.01884646350913887,0.33069694899077756,0.2304353144688041,19.0,9.0,0.004,0.004164383561643836,0.008164383561643836
UKX,CEI,1,1.8,63,0.746031746031746,0.5238095238095238,0.0013846886878101329,-0.00631698558920661,0.00820943365666857,-0.018662999658211533,0.004754995105253504,-0.018496164353112736,0.439877501313488,0.2570800634377626,16.88888888888889,7.0,0.004,0.0037016742770167427,0.007701674277016743
UKX,CEI,2,1.8,54,0.6481481481481481,0.2962962962962963,0.0010617531357860596,-0.006396389938795371,0.007977446684315676,-0.011677682348347443,0.0075835680957026435,-0.012282688058584007,0.6831361263602617,0.6174192537929604,15.777777777777779,7.0,0.004,0.003458143074581431,0.007458143074581432
UKX,CEI,3,1.8,43,0.6744186046511628,0.3488372093023256,-0.0014880416296888107,-0.008755324203756987,0.007020085186452936,-0.01911201860598243,0.005907086082087911,-0.01661018685688818,0.3673125969150906,0.3556303208978209,14.906976744186046,3.0,0.004,0.0032672825740681748,0.007267282574068175
UKX,CEI,0,2.0,98,0.7959183673469388,0.37755102040816324,0.0011702587934381051,-0.005225044533372072,0.006117109160041725,-0.018122457636316,0.004670465050304572,-0.011227238871012004,0.3375430243955164,0.41599409293440853,10.928571428571429,5.0,0.004,0.0023953033268101762,0.006395303326810176
UKX,CEI,1,2.0,90,0.6777777777777778,0.34444444444444444,0.0011501882057131604,-0.004985580439644526,0.006533010316852391,-0.010172299683234876,0.005140420065316508,-0.010306021382929137,0.6422353371695828,0.4987783233043825,9.744444444444444,3.5,0.004,0.0021357686453576863,0.006135768645357686
UKX,CEI,2,2.0,71,0.6056338028169014,0.2676056338028169,0.000613122344531558,-0.005467525928669291,0.006643496816318664,-0.008647809879998644,0.00630873532582252,-0.00977039061781053,0.7682288242349409,0.6456993965340824,9.492957746478874,3.0,0.004,0.0020806482732008483,0.006080648273200848
UKX,CEI,3,2.0,52,0.5192307692307693,0.2692307692307692,-0.0009612534606562397,-0.006727323007547705,0.005849552819126602,-0.00831692424282171,0.004113179303060962,-0.010721192279877214,0.7033312614546557,0.38364942962370496,8.057692307692308,1.0,0.004,0.001766069546891465,0.005766069546891465
